"","verbatim_name","usageKey","scientificName","status","rank","matchType","confidence","acceptedUsageKey","kingdomKey","phylumKey","classKey","orderKey","familyKey"
"151","Chlidonias leucopterus",2481120,"Chlidonias leucopterus (Temminck, 1815)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"152","Chlidonias niger",2481119,"Chlidonias niger (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"153","Chroicocephalus ridibundus",6065824,"Chroicocephalus ridibundus (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"154","Hydrocoloeus minutus",6065841,"Hydrocoloeus minutus (Pallas, 1776)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"155","Hydroprogne caspia",2481236,"Hydroprogne caspia (Pallas, 1770)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"156","Ichthyaetus melanocephalus",8151548,"Ichthyaetus melanocephalus (Temminck, 1820)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"157","Larus argentatus",2481139,"Larus argentatus Pontoppidan, 1763","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"158","Larus cachinnans",2481181,"Larus cachinnans Pallas, 1811","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"159","Larus canus",7982160,"Larus canus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"160","Larus fuscus",2481174,"Larus fuscus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"161","Larus marinus",2481172,"Larus marinus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"162","Larus michahellis",9413670,"Larus michahellis J.F.Naumann, 1840","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"163","Rissa tridactyla",2481205,"Rissa tridactyla (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"164","Sterna hirundo",9367409,"Sterna hirundo Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"165","Sterna paradisaea",5229230,"Sterna paradisaea Pontoppidan, 1763","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"166","Sternula albifrons",5789279,"Sternula albifrons (Pallas, 1764)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"167","Thalasseus sandvicensis",2481240,"Thalasseus sandvicensis (Latham, 1787)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"168","Xema sabini",2481221,"Xema sabini (Sabine, 1819)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
"169","Helopsaltes certhiola",10273344,"Helopsaltes certhiola (Pallas, 1811)","SYNONYM","SPECIES","EXACT",98,2493556,1,44,212,729,6100825
"170","Locustella fluviatilis",2493549,"Locustella fluviatilis (Wolf, 1810)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6100825
"171","Locustella lanceolata",2493550,"Locustella lanceolata (Temminck, 1840)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6100825
"172","Locustella luscinioides",2493551,"Locustella luscinioides (Savi, 1824)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6100825
"173","Locustella naevia",2493548,"Locustella naevia (Boddaert, 1783)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6100825
"174","Merops apiaster",2475443,"Merops apiaster Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1447,9320
"175","Dumetella carolinensis",2494936,"Dumetella carolinensis (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9321
"176","Anthus campestris",2490274,"Anthus campestris (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5257
"177","Anthus cervinus",2490283,"Anthus cervinus (Pallas, 1811)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5257
"178","Anthus godlewskii",2490264,"Anthus godlewskii (Taczanowski, 1876)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5257
"179","Anthus hodgsoni",2490244,"Anthus hodgsoni Richmond, 1907","ACCEPTED","SPECIES","EXACT",98,NA,1,44,212,729,5257
"180","Anthus petrosus",2490275,"Anthus petrosus (Montagu, 1798)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5257
"181","Anthus pratensis",2490266,"Anthus pratensis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5257
"182","Anthus richardi",9465111,"Anthus richardi Vieillot, 1818","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5257
