"","eeacellcode","pd"
"434","5kmE3950N3150",24055.172255
"435","5kmE3950N3155",25143.576972
"436","5kmE3950N3160",27381.8970165
"437","5kmE3950N3165",28648.1782295
"438","5kmE3955N3085",25313.6292055
"439","5kmE3955N3090",28175.644254
"440","5kmE3955N3095",27890.8455395
"441","5kmE3955N3100",29026.494582
"442","5kmE3955N3105",31425.6356345
"443","5kmE3955N3110",30483.726979
"444","5kmE3955N3115",27562.606927
"445","5kmE3955N3120",24580.6030755
"446","5kmE3955N3125",23629.2965725
"447","5kmE3955N3130",29319.106147
"448","5kmE3955N3135",29672.0006365
"449","5kmE3955N3140",28444.713918
"450","5kmE3955N3145",26956.117935
"451","5kmE3955N3150",26424.4885905
"452","5kmE3955N3155",27419.589281
"453","5kmE3955N3160",29160.05261
"454","5kmE3955N3165",32403.097854
"455","5kmE3960N3080",18805.2105195
"456","5kmE3960N3085",26214.401343
"457","5kmE3960N3090",27917.835948
"458","5kmE3960N3095",26443.051352
"459","5kmE3960N3100",27794.6953595
"460","5kmE3960N3105",29187.9604215
"461","5kmE3960N3110",29198.989429
"462","5kmE3960N3115",28309.312269
"463","5kmE3960N3120",27400.0597235
"464","5kmE3960N3125",25600.9684975
"465","5kmE3960N3130",28260.61788
"466","5kmE3960N3135",27425.5961945
"467","5kmE3960N3140",27587.7127275
"468","5kmE3960N3145",27666.950118
"469","5kmE3960N3150",29704.4604
"470","5kmE3960N3155",29343.421457
"471","5kmE3960N3160",29781.0441895
"472","5kmE3960N3165",32466.4329855
"473","5kmE3965N3080",18022.1704855
"474","5kmE3965N3085",25658.927036
"475","5kmE3965N3090",26762.5139915
"476","5kmE3965N3095",25304.0870535
"477","5kmE3965N3100",26062.9364815
"478","5kmE3965N3105",27958.8969095
"479","5kmE3965N3110",30700.042053
"480","5kmE3965N3115",27431.2624215
"481","5kmE3965N3120",28511.620031
"482","5kmE3965N3125",25623.873042
"483","5kmE3965N3130",27104.735289
"484","5kmE3965N3135",26240.647782
"485","5kmE3965N3140",29229.4770635
"486","5kmE3965N3145",31063.1530715
"487","5kmE3965N3150",31290.2970765
"488","5kmE3965N3155",30081.334356
"489","5kmE3965N3160",27877.439776
"490","5kmE3970N3075",17502.528144
"491","5kmE3970N3080",22622.4857615
"492","5kmE3970N3085",23600.520884
"493","5kmE3970N3090",25170.1597325
"494","5kmE3970N3095",25242.814389
"495","5kmE3970N3100",26588.1130675
"496","5kmE3970N3105",30190.314098
"497","5kmE3970N3110",29797.8874855
"498","5kmE3970N3115",27025.969859
"499","5kmE3970N3120",26456.7185155
"500","5kmE3970N3125",27243.836338
"501","5kmE3970N3130",26757.293187
"502","5kmE3970N3135",26624.7358515
"503","5kmE3970N3140",26580.74632
"504","5kmE3970N3145",29416.314442
"505","5kmE3970N3150",29519.3982945
"506","5kmE3970N3155",26590.912629
"507","5kmE3970N3160",28239.353114
"508","5kmE3975N3075",21801.0893975
"509","5kmE3975N3080",23734.2318125
"510","5kmE3975N3085",23868.3323085
"511","5kmE3975N3090",27315.5073825
"512","5kmE3975N3095",27113.637013
"513","5kmE3975N3100",27046.016358
"514","5kmE3975N3105",30393.183538
"515","5kmE3975N3110",27252.5443765
"516","5kmE3975N3115",25122.6083805
"517","5kmE3975N3120",23643.5977015
"518","5kmE3975N3125",26472.9922355
"519","5kmE3975N3130",27797.790943
"520","5kmE3975N3135",26335.1383835
"521","5kmE3975N3140",26362.4935985
"522","5kmE3975N3145",27268.150324
"523","5kmE3975N3150",25775.0269865
"524","5kmE3975N3155",25699.4923405
"525","5kmE3975N3160",29519.306229
"526","5kmE3980N3075",20258.3210855
"527","5kmE3980N3080",23423.112409
"528","5kmE3980N3085",26054.838948
"529","5kmE3980N3090",28854.197313
"530","5kmE3980N3095",26657.724377
"531","5kmE3980N3100",26972.341732
"532","5kmE3980N3105",28810.447919
"533","5kmE3980N3110",25490.9564515
"534","5kmE3980N3115",26169.9128665
"535","5kmE3980N3120",25110.491407
"536","5kmE3980N3125",26847.3099905
"537","5kmE3980N3130",30531.90958
"538","5kmE3980N3135",29596.060215
"539","5kmE3980N3140",27799.195795
"540","5kmE3980N3145",27181.9147705
"541","5kmE3980N3150",26749.7722045
"542","5kmE3980N3155",27112.453096
"543","5kmE3980N3160",28292.3855975
"544","5kmE3985N3075",21255.0506845
"545","5kmE3985N3080",25213.0298335
"546","5kmE3985N3085",24925.54023
"547","5kmE3985N3090",25152.41509
"548","5kmE3985N3095",25970.728281
"549","5kmE3985N3100",30174.451831
"550","5kmE3985N3105",30845.83908
"551","5kmE3985N3110",26513.5137295
"552","5kmE3985N3115",28065.4755
"553","5kmE3985N3120",27165.718267
"554","5kmE3985N3125",26592.603506
"555","5kmE3985N3130",28959.1449165
"556","5kmE3985N3135",29310.845036
"557","5kmE3985N3140",26906.2026325
"558","5kmE3985N3145",25764.0334865
"559","5kmE3990N3075",15798.1695935
"560","5kmE3990N3080",23499.564486
"561","5kmE3990N3085",25677.5310925
"562","5kmE3990N3090",25865.1383625
"563","5kmE3990N3095",28067.5036745
"564","5kmE3990N3100",32056.799855
"565","5kmE3990N3105",31616.1249135
"566","5kmE3990N3110",29842.230251
"567","5kmE3990N3115",29167.6403995
"568","5kmE3990N3120",26257.2092965
"569","5kmE3990N3125",24756.1495495
"570","5kmE3990N3130",24185.867518
"571","5kmE3990N3135",25922.0488645
"572","5kmE3995N3075",19089.298263
"573","5kmE3995N3080",24797.0364335
"574","5kmE3995N3085",26971.575807
"575","5kmE3995N3090",26245.2610105
"576","5kmE3995N3095",30762.8857975
"577","5kmE3995N3100",32557.1325645
"578","5kmE3995N3105",32462.7537015
"579","5kmE3995N3110",30972.8921165
"580","5kmE3995N3115",27354.82143
"581","5kmE3995N3120",27823.6118295
"582","5kmE3995N3125",24192.1268815
"583","5kmE3995N3130",28482.882789
"584","5kmE3995N3135",30005.4356785
"585","5kmE4000N3075",17569.7519935
"586","5kmE4000N3080",26063.8838155
"587","5kmE4000N3085",26393.3332495
"588","5kmE4000N3090",25550.699521
"589","5kmE4000N3095",31113.1187695
"590","5kmE4000N3100",32236.2317975
"591","5kmE4000N3105",31945.578591
"592","5kmE4000N3110",27656.1027485
"593","5kmE4000N3115",23123.6050345
"594","5kmE4000N3120",24102.2695185
"595","5kmE4000N3125",24802.6907465
"596","5kmE4000N3130",29328.6670035
"597","5kmE4000N3135",32109.1157155
"598","5kmE4000N3140",28910.3641525
"599","5kmE4005N3075",13963.0845235
"600","5kmE4005N3080",25298.574825
"601","5kmE4005N3085",26815.0081325
"602","5kmE4005N3090",27973.5379095
"603","5kmE4005N3095",30222.9767245
"604","5kmE4005N3100",29678.077691
"605","5kmE4005N3105",30085.961178
"606","5kmE4005N3110",27606.568975
"607","5kmE4005N3115",23982.994934
"608","5kmE4005N3120",25289.1429615
"609","5kmE4005N3125",26556.161278
"610","5kmE4005N3130",28051.0397695
"611","5kmE4005N3135",29927.879371
"612","5kmE4005N3140",29696.223694
"613","5kmE4010N3080",31654.387902
"614","5kmE4010N3085",32808.0198825
"615","5kmE4010N3090",33352.911718
"616","5kmE4010N3095",33061.308551
"617","5kmE4010N3100",28961.6538395
"618","5kmE4010N3105",26075.1812695
"619","5kmE4010N3110",27380.25886
"620","5kmE4010N3115",25273.529881
"621","5kmE4010N3120",25036.378115
"622","5kmE4010N3125",29072.456651
"623","5kmE4010N3130",30219.210213
"624","5kmE4010N3135",28149.9078355
"625","5kmE4015N3075",29052.0453255
"626","5kmE4015N3080",33860.0072755
"627","5kmE4015N3085",35158.7490755
"628","5kmE4015N3090",35087.967496
"629","5kmE4015N3095",35192.4967645
"630","5kmE4015N3100",34079.713464
"631","5kmE4015N3105",30831.771681
"632","5kmE4015N3110",28029.619678
"633","5kmE4015N3115",26825.4994625
"634","5kmE4015N3120",27010.4407045
"635","5kmE4015N3125",29836.428134
"636","5kmE4015N3130",30711.531994
"637","5kmE4020N3075",28742.50084
"638","5kmE4020N3080",33399.7168715
"639","5kmE4020N3095",33477.5869935
"640","5kmE4020N3100",31691.7383495
"641","5kmE4020N3105",32831.777416
"642","5kmE4020N3110",32117.6570015
"643","5kmE4020N3115",29752.168871
"644","5kmE4020N3120",28195.0778465
"645","5kmE4020N3125",29776.683583
"646","5kmE4025N3070",21667.827822
"647","5kmE4025N3075",30249.3181895
"648","5kmE4025N3080",33288.6870715
"649","5kmE4025N3110",33572.9306405
"650","5kmE4025N3115",32468.802719
"651","5kmE4025N3120",31190.322211
"652","5kmE4025N3125",30135.532985
"653","5kmE4030N3070",23683.062979
"654","5kmE4030N3075",30984.6906835
"655","5kmE4030N3080",33144.00692
"656","5kmE4030N3120",34187.6709175
